name,primary_muscle_group,equipment,rating,pk,slug,primaryMuscles,secondaryMuscles,steps,notes,instructions
Dumbbell Bench Press,Chest,Dumbbell,9.2,,,,,,,
Jumping rope,Quadriceps,Body Only,9.2,,,,,,,
Seated barbell shoulder press,Shoulders,Barbell,9.2,,,,,,,
EZ-bar spider curl,Biceps,Barbell,9.2,,,,,,,
Smith machine shrug,Traps,Machine,9.2,,,,,,,
Smith Machine Calf Raise,Calves,Machine,9.2,,,,,,,
Romanian Deadlift from Deficit,Hamstrings,Barbell,9.2,,,,,,,
Power Snatch,Hamstrings,Barbell,9.2,,,,,,,
Pushups,Chest,Body Only,9.2,,,,,,,
Barbell walking lunge,Quadriceps,Barbell,9.2,,,,,,,
Front Squats With Two Kettlebells,Quadriceps,Kettlebells,9.2,,,,,,,
Spider crawl,Abdominals,Body Only,9.2,,,,,,,
Power Clean from Blocks,Hamstrings,Barbell,9.2,,,,,,,
Single Leg Push-off,Quadriceps,Other,9.2,,,,,,,
Hip Circles (Prone),Abductors,,9.2,,,,,,,
Reverse-grip bent-over row,Middle Back,Barbell,9.2,,,,,,,
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable,9.2,,,,,,,
Back extension,Lower Back,Body Only,9.1,,,,,,,
Close-grip bench press,Chest,Barbell,9.1,,,,,,,
Cocoons,Abdominals,Body Only,9.1,,,,,,,
Cross-Body Crunch,Abdominals,Body Only,9.1,,,,,,,
Dumbbell Flyes,Chest,Dumbbell,9.1,,,,,,,
Hammer Curls,Biceps,Dumbbell,9.1,,,,,,,
Incline dumbbell bench press,Chest,Dumbbell,9.1,,,,,,,
Low-cable cross-over,Chest,Cable,9.1,,,,,,,
Single-arm high-cable side bend,Abdominals,Cable,9.1,,,,,,,
Seated Dumbbell Press,Shoulders,Dumbbell,9.1,,,,,,,
Standing dumbbell shoulder press,Shoulders,Dumbbell,9.1,,,,,,,
Single Leg Push-off,Quadriceps,Other,9.2,,,,,,,
Hip Circles (Prone),Abductors,,9.2,,,,,,,
Reverse-grip bent-over row,Middle Back,Barbell,9.2,,,,,,,
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable,9.2,,,,,,,
Back extension,Lower Back,Body Only,9.1,,,,,,,
Close-grip bench press,Chest,Barbell,9.1,,,,,,,
Cocoons,Abdominals,Body Only,9.1,,,,,,,
Cross-Body Crunch,Abdominals,Body Only,9.1,,,,,,,
Dumbbell Flyes,Chest,Dumbbell,9.1,,,,,,,
Hammer Curls,Biceps,Dumbbell,9.1,,,,,,,
Incline dumbbell bench press,Chest,Dumbbell,9.1,,,,,,,
Seated Dumbbell Press,Shoulders,Dumbbell,9.1,,,,,,,
Standing dumbbell shoulder press,Shoulders,Dumbbell,9.1,,,,,,,
EZ-Bar Curl,Biceps,E-Z Curl Bar,9.1,,,,,,,
Olympic Squat,Quadriceps,Barbell,9.1,,,,,,,
Natural Glute Ham Raise,Hamstrings,Body Only,9.1,,,,,,,
Axle Deadlift,Lower Back,Other,9.1,,,,,,,
Zottman Curl,Biceps,,9.1,,,,,,,
Glute ham raise-,Hamstrings,,9.1,,,,,,,
Single-arm lateral raise,Shoulders,Dumbbell,9.1,,,,,,,
Power Partials,Shoulders,Dumbbell,9.1,,,,,,,
Leverage Shrug,Traps,Machine,9.1,,,,,,,
Cable V-bar push-down,Triceps,Cable,9.1,,,,,,,
Wrist Roller,Forearms,Other,9.1,,,,,,,
Incline dumbbell reverse fly,Shoulders,Dumbbell,9.1,,,,,,,
Stair climber,Quadriceps,Machine,9.1,,,,,,,
Elbow-to-knee crunch,Abdominals,Body Only,9.1,,,,,,,
Kettlebell Pistol Squat,Quadriceps,Kettlebells,9.1,,,,,,,
Overhead dumbbell front raise,Shoulders,Dumbbell,9.1,,,,,,,
Biceps curl to shoulder press,Biceps,Dumbbell,9.1,,,,,,,
Weighted bench dip,Triceps,Body Only,9.1,,,,,,,
Barbell Hip Thrust,Glutes,Barbell,9.1,,,,,,,
Forward lunge,Quadriceps,Body Only,9.0,,,,,,,
Barbell Bench Press - Medium Grip,Chest,Barbell,9.0,,,,,,,
Chest dip,Chest,Other,9.0,,,,,,,
Seated dumbbell shoulder press,Shoulders,Dumbbell,9.0,,,,,,,
Barbell Curl,Biceps,Barbell,9.0,,,,,,,
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar,9.0,,,,,,,
One-Arm Dumbbell Row,Middle Back,Dumbbell,9.0,,,,,,,
Alternating standing shoulder press,Shoulders,Dumbbell,9.0,,,,,,,
Concentration curl,Biceps,Dumbbell,9.0,,,,,,,
Decline Crunch,Abdominals,Body Only,9.0,,,,,,,
Decline Dumbbell Flyes,Chest,Dumbbell,9.0,,,,,,,
Single-arm incline rear delt raise,Shoulders,Dumbbell,9.0,,,,,,,
Alternating dumbbell front raise,Shoulders,Dumbbell,9.0,,,,,,,
Hanging toes-to-bar,Abdominals,Body Only,9.0,,,,,,,
Narrow-stance squat,Quadriceps,Barbell,9.0,,,,,,,
Kneeling cable oblique crunch,Abdominals,Cable,9.0,,,,,,,
Reverse Grip Triceps Pushdown,Triceps,Cable,9.0,,,,,,,
Bear crawl sled drag,Quadriceps,Other,9.0,,,,,,,
Rocky Pull-Ups/Pulldowns,Lats,Other,9.0,,,,,,,
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell,9.0,,,,,,,
Box Squat with Bands,Quadriceps,Barbell,9.0,,,,,,,
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,9.0,,,,,,,
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell,9.0,,,,,,,
Thigh adductor,Adductors,Machine,9.0,,,,,,,
Machine Bicep Curl,Biceps,Machine,9.0,,,,,,,
Seated Palms-Down Barbell Wrist Curl,Forearms,,9.0,,,,,,,
Single-arm incline rear delt raise,Shoulders,Dumbbell,9.0,,,,,,,
Alternating dumbbell front raise,Shoulders,Dumbbell,9.0,,,,,,,
Hanging toes-to-bar,Abdominals,Body Only,9.0,,,,,,,
Narrow-stance squat,Quadriceps,Barbell,9.0,,,,,,,
Kneeling cable oblique crunch,Abdominals,Cable,9.0,,,,,,,
Reverse Grip Triceps Pushdown,Triceps,Cable,9.0,,,,,,,
Bear crawl sled drag,Quadriceps,Other,9.0,,,,,,,
Rocky Pull-Ups/Pulldowns,Lats,Other,9.0,,,,,,,
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell,9.0,,,,,,,
Box Squat with Bands,Quadriceps,Barbell,9.0,,,,,,,
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,9.0,,,,,,,
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell,9.0,,,,,,,
Machine Bicep Curl,Biceps,Machine,9.0,,,,,,,
Seated Palms-Down Barbell Wrist Curl,Forearms,,9.0,,,,,,,
Car driver,Shoulders,Other,9.0,,,,,,,
Alternating Deltoid Raise,Shoulders,Dumbbell,9.0,,,,,,,
Hanging Oblique Knee Raise,Abdominals,Body Only,9.0,,,,,,,
Bodyweight Flyes,Chest,E-Z Curl Bar,9.0,,,,,,,
Standing Calf Raises,Calves,Machine,9.0,,,,,,,
Push-Ups - Close Triceps Position,Triceps,Body Only,9.0,,,,,,,
One-Arm Long Bar Row,Middle Back,Barbell,9.0,,,,,,,
Overhead cable curl,Biceps,Cable,9.0,,,,,,,
Single-dumbbell front raise,Shoulders,Dumbbell,9.0,,,,,,,
Incline cable chest fly,Chest,Cable,9.0,,,,,,,
Single-leg depth squat,Quadriceps,Bands,9.0,,,,,,,
Dumbbell suitcase crunch,Abdominals,Medicine Ball,9.0,,,,,,,
Plate Twist,Abdominals,Other,9.0,,,,,,,
Single-leg cable hip extension,Glutes,Cable,9.0,,,,,,,
Weighted Jump Squat,Quadriceps,Barbell,9.0,,,,,,,
Squat with Chains,Quadriceps,Barbell,9.0,,,,,,,
Gorilla Chin/Crunch,Abdominals,Body Only,9.0,,,,,,,
Kneeling cable triceps extension,Triceps,Cable,9.0,,,,,,,
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals,Cables,8.9,,,,,,,
Bicycling,Quadriceps,Other,8.9,,,,,,,
Arnold press,Shoulders,Dumbbell,8.9,,,,,,,
Weighted Crunches,Abdominals,Other,8.9,,,,,,,
Single-arm cable triceps extension,Triceps,Cable,8.9,,,,,,,
Barbell roll-out,Abdominals,Barbell,8.9,,,,,,,
Kneeling cable crunch,Abdominals,Cable,8.9,,,,,,,
Exercise Ball Pull-In,Abdominals,Exercise Ball,8.9,,,,,,,
Hanging leg raise,Abdominals,Body Only,8.9,,,,,,,
Barbell Ab Rollout - On Knees,Abdominals,Barbell,8.9,,,,,,,
Barbell Squat,Quadriceps,Barbell,8.9,,,,,,,
Decline barbell bench press,Chest,Barbell,8.9,,,,,,,
Dumbbell Bicep Curl,Biceps,Dumbbell,8.9,,,,,,,
Dumbbell Goblet Squat,Quadriceps,Dumbbell,8.9,,,,,,,
Dumbbell squat,Quadriceps,Dumbbell,8.9,,,,,,,
Barbell front squat,Quadriceps,Barbell,8.9,,,,,,,
Close-grip pull-down,Lats,Cable,8.9,,,,,,,
Triceps Pushdown - Rope Attachment,Triceps,Cables,8.9,,,,,,,
Side-to-side box skip,Quadriceps,Body Only,8.9,,,,,,,
Smith machine shoulder press,Shoulders,Machine,8.9,,,,,,,
Seated triceps press,Triceps,Dumbbell,8.9,,,,,,,
Dumbbell Lying Supination,Forearms,,8.9,,,,,,,
Pull-up,Lats,Body Only,8.9,,,,,,,
Wide-grip bench press,Chest,Barbell,8.9,,,,,,,
Close-grip EZ-bar curl,Biceps,Barbell,8.9,,,,,,,
T-Bar Row,Middle Back,Other,8.9,,,,,,,
Bent Over Two-Arm Long Bar Row,Middle Back,Barbell,8.9,,,,,,,
Muscle Up,Lats,Body Only,8.9,,,,,,,
Machine shoulder press,Shoulders,Machine,8.9,,,,,,,
Incline EZ-bar skullcrusher,Triceps,Barbell,8.9,,,,,,,
Alternating sit-through with crunch,Middle Back,Other,8.9,,,,,,,
Wide-Grip Decline Barbell Bench Press,Chest,Barbell,8.9,,,,,,,
Rower,Middle Back,Machine,8.9,,,,,,,
Snatch Deadlift,Hamstrings,Barbell,8.9,,,,,,,
Front Plate Raise,Shoulders,Other,8.9,,,,,,,
Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell,8.9,,,,,,,
Lying Leg Curls,Hamstrings,Machine,8.9,,,,,,,
Cross-body hammer curl,Biceps,Dumbbell,8.9,,,,,,,
Shotgun row,Lats,Cable,8.9,,,,,,,
Ab Roller,Abdominals,Other,8.9,,,,,,,
Reverse-grip incline dumbbell bench press,Chest,Dumbbell,8.9,,,,,,,
Leg Press,Quadriceps,Machine,8.8,,,,,,,
Stiff-Legged Dumbbell Deadlift,Hamstrings,Dumbbell,8.8,,,,,,,
Cable Crossover,Chest,Cable,8.8,,,,,,,
Barbell Incline Bench Press Medium-Grip,Chest,Barbell,8.8,,,,,,,
Incline Dumbbell Flyes,Chest,Dumbbell,8.8,,,,,,,
Seated Cable Rows,Middle Back,Cable,8.8,,,,,,,
Tricep Dumbbell Kickback,Triceps,Dumbbell,8.8,,,,,,,
Otis-Up,Abdominals,Other,8.8,,,,,,,
Mountain climber,Abdominals,Body Only,8.8,,,,,,,
Ab bicycle,Abdominals,Body Only,8.8,,,,,,,
Barbell forward lunge,Quadriceps,Barbell,8.8,,,,,,,
3/4 sit-up,Abdominals,Body Only,8.8,,,,,,,
Exercise ball leg curl,Hamstrings,Exercise Ball,8.8,,,,,,,
Glute bridge,Glutes,Body Only,8.8,,,,,,,
Close-Grip Front Lat Pulldown,Lats,Cable,8.8,,,,,,,
Dip Machine,Triceps,Cable,8.8,,,,,,,
Incline dumbbell row,Middle Back,Dumbbell,8.8,,,,,,,
Dumbbell Lunges,Quadriceps,Dumbbell,8.8,,,,,,,
Single-arm standing shoulder press,Shoulders,Dumbbell,8.8,,,,,,,
Preacher Curl,Biceps,Barbell,8.8,,,,,,,
Reverse crunch,Abdominals,Body Only,8.8,,,,,,,
Standing Dumbbell Triceps Extension,Triceps,Dumbbell,8.8,,,,,,,
Elliptical trainer,Quadriceps,Machine,8.8,,,,,,,
Bodyweight squat,Quadriceps,Body Only,8.8,,,,,,,
Bent Over Two-Dumbbell Row With Palms In,Middle Back,Dumbbell,8.8,,,,,,,
Hex-bar deadlift,Quadriceps,Other,8.8,,,,,,,
Narrow-stance leg press,Quadriceps,Machine,8.8,,,,,,,
Single-leg glute bridge,Glutes,Body Only,8.8,,,,,,,
Barbell Curls Lying Against An Incline,Biceps,Barbell,8.8,,,,,,,
Standing Hip Circles,Abductors,Body Only,8.8,,,,,,,
Clam,Abductors,,8.8,,,,,,,
Narrow Stance Hack Squats,Quadriceps,Machine,8.8,,,,,,,
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell,8.8,,,,,,,
Dumbbell Lying Pronation,Forearms,,8.8,,,,,,,
Smith machine box squat,Quadriceps,Barbell,8.8,,,,,,,
Drop Push,Chest,Other,8.8,,,,,,,
Upside-down pull-up,Middle Back,Other,8.8,,,,,,,
Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar,8.8,,,,,,,
Close-grip EZ-bar bench press,Chest,E-Z Curl Bar,8.8,,,,,,,
Incline Push-Up,Chest,Body Only,8.8,,,,,,,
Hyperextensions With No Hyperextension Bench,Lower Back,Body Only,8.8,,,,,,,
Dumbbell front raise,Shoulders,Dumbbell,8.8,,,,,,,
Parallel Bar Dip,Triceps,Body Only,8.8,,,,,,,
Stairmaster,Quadriceps,Machine,8.8,,,,,,,
Double Leg Butt Kick,Quadriceps,,8.8,,,,,,,
Groiners,Adductors,Body Only,8.8,,,,,,,
Neck Press,Chest,Barbell,8.8,,,,,,,
Broad jump,Quadriceps,Body Only,8.8,,,,,,,
Machine Squat,Quadriceps,Machine,8.8,,,,,,,
V-bar pull-up,Lats,,8.8,,,,,,,
Ring dip,Triceps,Body Only,8.8,,,,,,,
Standing One-Arm Cable Curl,Biceps,Cable,8.8,,,,,,,
Burpee,Quadriceps,Body Only,8.8,,,,,,,
Double-arm triceps kick-back,Triceps,Dumbbell,8.8,,,,,,,
Dumbbell reverse lunge,Quadriceps,Dumbbell,8.7,,,,,,,
Seated Calf Raise,Calves,Machine,8.7,,,,,,,
Standing dumbbell shrug,Traps,Dumbbell,8.7,,,,,,,
Calf Press On The Leg Press Machine,Calves,Machine,8.7,,,,,,,
Barbell step-up,Quadriceps,Barbell,8.7,,,,,,,
Feet-elevated bench dip,Triceps,Body Only,8.7,,,,,,,
Bent Over Barbell Row,Middle Back,Barbell,8.7,,,,,,,
Crunches,Abdominals,Body Only,8.7,,,,,,,
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell,8.7,,,,,,,
Bent-over dumbbell rear delt row,Shoulders,Dumbbell,8.7,,,,,,,
External Rotation with Cable,Shoulders,Cables,8.7,,,,,,,
Handstand push-up,Shoulders,Body Only,8.7,,,,,,,
Single-arm dumbbell preacher curl,Biceps,Dumbbell,8.7,,,,,,,
Step-up with knee raise,Glutes,Body Only,8.7,,,,,,,
Smith machine back squat,Quadriceps,Machine,8.7,,,,,,,
Incline dumbbell front raise,Shoulders,Dumbbell,8.7,,,,,,,
Alternate Incline Dumbbell Curl,Biceps,Dumbbell,8.7,,,,,,,
Standing dumbbell upright row,Traps,Dumbbell,8.7,,,,,,,
Single-arm cable front raise,Shoulders,Cable,8.7,,,,,,,
Two-Arm Kettlebell Military Press,Shoulders,Kettlebells,8.7,,,,,,,
Incline cable chest press,Chest,Cable,8.7,,,,,,,
Rope climb,Lats,Body Only,8.7,,,,,,,
Single-arm dumbbell preacher curl,Biceps,Dumbbell,8.7,,,,,,,
Step-up with knee raise,Glutes,Body Only,8.7,,,,,,,
Incline dumbbell front raise,Shoulders,Dumbbell,8.7,,,,,,,
Rope climb,Lats,Body Only,8.7,,,,,,,
Trail Running/Walking,Quadriceps,Body Only,8.7,,,,,,,
Standing Bradford press,Shoulders,Barbell,8.7,,,,,,,
Neutral-grip dumbbell bench press,Chest,Dumbbell,8.7,,,,,,,
Cable Chest Press,Chest,Cable,8.7,,,,,,,
Standing concentration curl,Biceps,Dumbbell,8.7,,,,,,,
Wide-Grip Rear Pull-Up,Lats,Body Only,8.7,,,,,,,
Kettlebell pass-through lunge,Hamstrings,Kettlebells,8.7,,,,,,,
Hands-elevated push-up,Chest,Body Only,8.7,,,,,,,
Deadlift with Bands,Lower Back,Barbell,8.7,,,,,,,
Straight-arm rope pull-down,Lats,Cable,8.7,,,,,,,
Barbell Shoulder Press,Shoulders,Barbell,8.7,,,,,,,
Power clean,Hamstrings,Barbell,8.7,,,,,,,
Hang Snatch,Hamstrings,Barbell,8.7,,,,,,,
Kettlebell sumo deadlift high pull,Traps,Kettlebells,8.7,,,,,,,
Calf-Machine Shoulder Shrug,Traps,Machine,8.7,,,,,,,
Bench Press - Powerlifting,Triceps,Barbell,8.7,,,,,,,
Rocking Standing Calf Raise,Calves,Barbell,8.7,,,,,,,
Goblet Squat,Quadriceps,Kettlebells,8.7,,,,,,,
Behind-the-head skullcrusher,Triceps,Barbell,8.7,,,,,,,
Seated palms-up wrist curl,Forearms,Barbell,8.7,,,,,,,
Reverse Cable Curl,Biceps,Cable,8.7,,,,,,,
Dumbbell side bend,Abdominals,Dumbbell,8.6,,,,,,,
Lat pull-down,Lats,Cable,8.6,,,,,,,
Side Lateral Raise,Shoulders,Dumbbell,8.6,,,,,,,
Alternating incline dumbbell biceps curl,Biceps,Dumbbell,8.6,,,,,,,
Kettlebell One-Legged Deadlift,Hamstrings,Kettlebells,8.6,,,,,,,
Alternate Hammer Curl,Biceps,Dumbbell,8.6,,,,,,,
Decline Push-Up,Chest,Body Only,8.6,,,,,,,
Captain's chair knee raise,Abdominals,Other,8.6,,,,,,,
Triceps Pushdown,Triceps,Cable,8.6,,,,,,,
Low cable overhead triceps extension,Triceps,Cable,8.6,,,,,,,
Single-arm cable cross-over,Chest,Cable,8.6,,,,,,,
Seated dumbbell biceps curl,Biceps,Dumbbell,8.6,,,,,,,
Battle ropes,Shoulders,Other,8.6,,,,,,,
Dead bug reach,Abdominals,Body Only,8.6,,,,,,,
Deadlift with Chains,Lower Back,Barbell,8.6,,,,,,,
Rope Crunch,Abdominals,Cable,8.6,,,,,,,
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,8.6,,,,,,,
Kettlebell thruster,Glutes,Kettlebells,8.6,,,,,,,
Single-Arm Push-Up,Chest,Body Only,8.6,,,,,,,
Band Hip Adductions,Adductors,Bands,8.6,,,,,,,
Single-arm kettlebell clean,Hamstrings,Kettlebells,8.6,,,,,,,
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell,8.6,,,,,,,
Alternating Kettlebell Press,Shoulders,Kettlebells,8.6,,,,,,,
Split Squat with Dumbbells,Quadriceps,Dumbbell,8.6,,,,,,,
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,,8.6,,,,,,,
Standing Olympic Plate Hand Squeeze,Forearms,Other,8.6,,,,,,,
Sledgehammer swing,Abdominals,Other,8.6,,,,,,,
Kneeling Squat,Glutes,Barbell,8.6,,,,,,,
Single-arm kettlebell snatch,Shoulders,Kettlebells,8.6,,,,,,,
Close-grip barbell curl,Biceps,Barbell,8.6,,,,,,,
Box jump,Hamstrings,Other,8.6,,,,,,,
Standing cable crunch,Abdominals,Cable,8.6,,,,,,,
Leverage Incline Chest Press,Chest,Machine,8.6,,,,,,,
Standing barbell overhead triceps extension,Triceps,Barbell,8.6,,,,,,,
Lying cable triceps extension,Triceps,Cable,8.6,,,,,,,
Kettlebell Turkish Get-Up (Squat style),Shoulders,,8.6,,,,,,,
Crunch - Hands Overhead,Abdominals,Body Only,8.6,,,,,,,
Cable Internal Rotation,Shoulders,Cable,8.6,,,,,,,
Leg Extensions,Quadriceps,Machine,8.5,,,,,,,
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,,8.6,,,,,,,
Standing Olympic Plate Hand Squeeze,Forearms,Other,8.6,,,,,,,
Sledgehammer swing,Abdominals,Other,8.6,,,,,,,
Single-arm kettlebell snatch,Shoulders,Kettlebells,8.6,,,,,,,
Box jump,Hamstrings,Other,8.6,,,,,,,
Standing cable crunch,Abdominals,Cable,8.6,,,,,,,
Standing barbell overhead triceps extension,Triceps,Barbell,8.6,,,,,,,
Lying cable triceps extension,Triceps,Cable,8.6,,,,,,,
Close push-up to wide push-up,Chest,Body Only,8.5,,,,,,,
Single-arm dumbbell triceps extension,Triceps,Dumbbell,8.5,,,,,,,
Butterfly,Chest,Machine,8.5,,,,,,,
Decline dumbbell bench press,Chest,Dumbbell,8.5,,,,,,,
V-up,Abdominals,Body Only,8.5,,,,,,,
Seated face pull,Shoulders,Cable,8.5,,,,,,,
Barbell Bulgarian split squat,Quadriceps,Barbell,8.5,,,,,,,
Reverse-grip lat pull-down,Lats,Machine,8.5,,,,,,,
Standing Biceps Cable Curl,Biceps,Cable,8.5,,,,,,,
Single-arm cable seated row,Middle Back,Cable,8.5,,,,,,,
Single-arm kettlebell row,Chest,Dumbbell,8.5,,,,,,,
Scissors Jump,Quadriceps,Body Only,8.5,,,,,,,
Wide Stance Stiff Legs,Hamstrings,Barbell,8.5,,,,,,,
Rack Pull with Bands,Lower Back,Barbell,8.5,,,,,,,
Drag curl,Biceps,Barbell,8.5,,,,,,,
Close push-up to wide push-up,Chest,Body Only,8.5,,,,,,,
Single-arm dumbbell triceps extension,Triceps,Dumbbell,8.5,,,,,,,
Butterfly,Chest,Machine,8.5,,,,,,,
Seated face pull,Shoulders,Cable,8.5,,,,,,,
Rack Pull with Bands,Lower Back,Barbell,8.5,,,,,,,
Drag curl,Biceps,Barbell,8.5,,,,,,,
Hang Clean - Below the Knees,Quadriceps,Barbell,8.5,,,,,,,
Decline oblique crunch,Abdominals,,8.5,,,,,,,
Dumbbell external shoulder rotation,Shoulders,Dumbbell,8.5,,,,,,,
Single-arm bent-over cable rear delt fly,Shoulders,Cable,8.5,,,,,,,
Clean,Hamstrings,Barbell,8.5,,,,,,,
Single-arm incline lateral raise,Shoulders,Dumbbell,8.5,,,,,,,
Decline bar press sit-up,Abdominals,Barbell,8.5,,,,,,,
Barbell rear delt bent-over row,Shoulders,Barbell,8.5,,,,,,,
Calf Press,Calves,Machine,8.5,,,,,,,
Kettlebell alternating renegade row,Middle Back,Kettlebells,8.5,,,,,,,
Bosu Ball Cable Crunch With Side Bends,Abdominals,Cable,8.5,,,,,,,
Stomach Vacuum,Abdominals,Body Only,8.5,,,,,,,
Hammer Grip Incline DB Bench Press,Chest,Dumbbell,8.5,,,,,,,
Wide-grip hands-elevated push-up,Chest,Body Only,8.5,,,,,,,
Decline Dumbbell Triceps Extension,Triceps,Dumbbell,8.5,,,,,,,
Jumping jack-,Quadriceps,Body Only,8.5,,,,,,,
Push-Ups With Feet On An Exercise Ball,Chest,Body Only,8.5,,,,,,,
Seated cable shoulder press,Shoulders,Cable,8.5,,,,,,,
Barbell hack squat,Quadriceps,Barbell,8.5,,,,,,,
Feet-elevated push-up,Chest,Body Only,8.5,,,,,,,
Good Morning,Hamstrings,Barbell,8.5,,,,,,,
Leverage Chest Press,Chest,Machine,8.5,,,,,,,
Gironda Sternum Chins,Lats,Other,8.5,,,,,,,
Exercise ball crunch,Abdominals,Exercise Ball,8.4,,,,,,,
Seated rear delt fly,Shoulders,Dumbbell,8.4,,,,,,,
Standing face pull,Shoulders,Cable,8.4,,,,,,,
Glute Ham Raise,Hamstrings,Machine,8.4,,,,,,,
Russian twist,Abdominals,Body Only,8.4,,,,,,,
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench,8.4,,,,,,,
Barbell shrug,Traps,Barbell,8.4,,,,,,,
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench,8.4,,,,,,,
Barbell shrug,Traps,Barbell,8.4,,,,,,,
Standing cable rear delt row,Shoulders,Cable,8.4,,,,,,,
Flat Bench Lying Leg Raise,Abdominals,Body Only,8.4,,,,,,,
Hack Squat,Quadriceps,Barbell,8.4,,,,,,,
Dumbbell skullcrusher,Triceps,Dumbbell,8.4,,,,,,,
Man-maker,Middle Back,Dumbbell,8.4,,,,,,,
Pallof press,Abdominals,Other,8.4,,,,,,,
Knees tucked crunch,Abdominals,Body Only,8.4,,,,,,,
Straight-arm dumbbell pull-over,Chest,Dumbbell,8.4,,,,,,,
Arms-crossed jump squat,Quadriceps,Body Only,8.4,,,,,,,
Decline Smith Press,Chest,Machine,8.4,,,,,,,
Band Skull Crusher,Triceps,,8.4,,,,,,,
